Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Raspberry PI 3A/3B,Raspberry_Pi_3B_Socketed_THT_FaceDown_MountingHoles,137.16,-112.85,-90.0,top
BZ1,Buzzer,Buzzer_12x9.5RM7.6,76.8604,-77.1752,90.0,top
C1,100nF,C_0805_2012Metric,139.192,-79.248,-90.0,top
C6,470uF,CP_Elec_10x7.7,130.81,-79.248,180.0,top
J1,DC IN,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,83.566,-63.388,-90.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,99.822,-59.605,180.0,top
Q1,DMG2302U,SOT-23,116.7615,-80.894,180.0,top
Q2,DMG2302U,SOT-23,116.7615,-76.83,180.0,top
Q3,DMG2302U,SOT-23,116.7615,-72.898,180.0,top
Q4,DMG2302U,SOT-23,116.7615,-69.088,180.0,top
R1,1k,R_0805_2012Metric,108.204,-78.74,0.0,top
R10,10k*,R_0805_2012Metric,113.7135,-76.896,-90.0,top
R11,10k*,R_0805_2012Metric,119.8095,-72.832,-90.0,top
R12,10k*,R_0805_2012Metric,113.7135,-72.898,-90.0,top
R13,10k*,R_0805_2012Metric,119.8095,-69.022,-90.0,top
R14,10k*,R_0805_2012Metric,113.7135,-69.088,-90.0,top
R2,1k,R_0805_2012Metric,108.204,-70.866,0.0,top
R3,10k*,R_0805_2012Metric,125.26,-125.73,180.0,top
R4,10k*,R_0805_2012Metric,125.26,-121.92,180.0,top
R5,10k*,R_0805_2012Metric,119.8095,-80.96,-90.0,top
R6,470*,R_0805_2012Metric,115.1,-133.35,0.0,top
R7,470*,R_0805_2012Metric,125.26,-129.54,180.0,top
R8,10k*,R_0805_2012Metric,113.7135,-80.96,-90.0,top
R9,10k*,R_0805_2012Metric,119.8095,-76.896,-90.0,top
U1,7406,SO-14_3.9x8.65mm_P1.27mm,145.923,-80.961,90.0,top
